country,physicians,life_exp,predicted_life_exp,residual
Bangladesh,0.722,74.672,67.35092829154989,7.321071708450106
Brazil,2.357,75.848,77.1733239800802,-1.3253239800801992
Canada,2.819,81.6263414634146,79.94882661500435,1.6775148484102544
United Kingdom,3.301,81.2380975609756,82.84448087914602,-1.6063833181704155
Ghana,0.266,65.498,64.61147114539098,0.8865288546090255
Indonesia,0.524,71.146,66.16142716229668,4.984572837703325
Kenya,0.289,63.646,64.74964551899109,-1.1036455189910868
Nigeria,0.38,54.462,65.2963354319307,-10.834335431930697
